Date / Time,Home team,,,,Away team,Location,Status
"Thursday May 7, 2026",,,,,,,
271 - 9:00 PM,Puckin Around,,,,Minnesota Wild,EHLPKA,Incomplete
272 - 9:00 PM,Cape Cod Rangers,,,,Pouch munchers,EHLCCR ,Incomplete
273 - 9:00 PM,Pioneers,,,,MN BLUES,EHLPIO,Incomplete
274 - 9:00 PM,Sabres On Ice,,,,Royal deltz,EHLSOI,Incomplete
275 - 9:00 PM,Cooper Gang HC,,,,Reverse HC,EHLCGH,Incomplete
276 - 9:00 PM,Canadian Frostbytes,,,,Tombstone,EHLEFB,Incomplete
277 - 9:00 PM,Greensboro Hurricanes,,,,High Quality Plague,EHLBIS,Incomplete
278 - 9:00 PM,Montrescotia Buffaloes,,,,Stratton Oakmont,EHLMSB ,Incomplete
279 - 9:00 PM,Blood Sweat & Beers,,,,Hope Skate Park,EHLBSB,Incomplete
280 - 9:00 PM,Steel City Legion,,,,Kitty Slayers,EHLSCL,Incomplete
281 - 9:35 PM,Minnesota Wild,,,,Cape Cod Rangers,EHLMIN,Incomplete
282 - 9:35 PM,Pioneers,,,,Puckin Around,EHLPIO,Incomplete
283 - 9:35 PM,Sabres On Ice,,,,Pouch munchers,EHLSOI,Incomplete
284 - 9:35 PM,MN BLUES,,,,Cooper Gang HC,EHLMNB,Incomplete
285 - 9:35 PM,Royal deltz,,,,Canadian Frostbytes,EHLRYD,Incomplete
286 - 9:35 PM,Reverse HC,,,,Greensboro Hurricanes,EHLRHC,Incomplete
287 - 9:35 PM,Tombstone,,,,Montrescotia Buffaloes,EHLTBS,Incomplete
288 - 9:35 PM,Blood Sweat & Beers,,,,High Quality Plague,EHLBSB,Incomplete
289 - 9:35 PM,Steel City Legion,,,,Stratton Oakmont,EHLSCL,Incomplete
290 - 9:35 PM,Kitty Slayers,,,,Hope Skate Park,EHLKIT,Incomplete
291 - 10:10 PM,Pioneers,,,,Minnesota Wild,EHLPIO,Incomplete
292 - 10:10 PM,Sabres On Ice,,,,Cape Cod Rangers,EHLSOI,Incomplete
293 - 10:10 PM,Cooper Gang HC,,,,Puckin Around,EHLCGH,Incomplete
294 - 10:10 PM,Canadian Frostbytes,,,,Pouch munchers,EHLEFB,Incomplete
